	C1.1	C1.2	C1.3	C1.4	C1.5	C2.1	C2.2	C2.3	C2.4	C2.5
Gene_1087	1964	2107	2120	1960	2528	2462	1797	2070	2036	2157
Gene_1088	48	63	54	44	48	61	75	60	44	75
Gene_1089	634	679	566	456	459	425	544	469	452	702
Gene_1090	154	154	173	164	166	184	164	147	196	182
Gene_1091	30	30	38	33	43	24	41	30	34	45
Gene_1092	2104	1916	2400	2186	2211	2122	1972	2397	2036	2011
Gene_1093	159	220	225	226	309	215	215	160	280	183
Gene_1094	876	909	930	879	911	933	931	964	809	923
Gene_1095	12	11	17	9	11	4	6	12	10	12
Gene_1096	2	4	4	1	1	0	5	2	1	1
Gene_1097	705	800	769	692	756	795	729	711	719	777
Gene_1098	684	672	706	718	716	722	668	692	680	691
Gene_1099	6845	7040	6726	6278	6376	6861	6352	6329	7144	6716
Gene_1100	355	298	290	385	358	203	262	384	311	335
Gene_1101	797	859	981	807	1094	730	861	657	931	718
Gene_1102	633	632	564	612	681	673	605	658	584	592
Gene_1103	17	14	11	11	17	9	13	17	16	20
Gene_1104	4517	4314	2204	3260	2724	2393	2268	2789	2045	3207
Gene_1105	223	262	233	303	259	302	265	310	290	345
Gene_1106	652	593	871	501	498	577	659	642	606	618
Gene_1107	2009	1833	2317	2476	1848	2921	1835	2431	2903	2557
Gene_1108	1332	1378	1050	1209	1255	1089	1063	976	1185	1301
Gene_1109	539	389	476	501	572	542	435	457	416	582
Gene_1110	330	293	304	301	254	297	284	263	277	274
Gene_1111	11	13	17	16	5	8	5	17	17	5
Gene_1112	103	139	111	94	124	133	127	140	145	117
Gene_1113	362	462	403	452	415	432	487	381	372	364
Gene_1114	150	105	58	136	97	82	95	191	129	177
Gene_1115	177	176	169	154	150	140	166	151	152	147
Gene_1116	1980	1291	1396	1434	2168	1440	2149	2096	2275	2089
Gene_1117	1185	1228	1169	1028	1062	1391	738	1587	1348	1318
Gene_1118	75	75	91	94	69	107	78	87	87	105
Gene_1119	58	48	46	52	35	51	54	49	51	45
Gene_1120	6	7	7	5	7	11	9	3	4	11
Gene_1121	357	354	355	319	341	353	363	322	338	367
Gene_1122	97	127	134	166	167	137	116	109	136	150
Gene_1123	1352	1018	924	1421	1006	993	964	1297	1181	1092
Gene_1124	31	24	39	42	18	40	46	44	25	48
Gene_1125	993	1192	1188	1209	1115	1165	1084	1051	1083	1097
Gene_1126	782	757	815	655	590	686	1000	787	958	967
Gene_1127	170	159	172	167	130	179	189	136	120	158
Gene_1128	212	411	217	252	366	332	268	406	311	346
Gene_1129	33	36	37	41	38	36	47	30	38	46
Gene_1130	351	381	395	397	335	346	363	377	388	354
Gene_1131	32	46	35	63	49	52	32	44	46	37
Gene_1132	1455	1364	1256	949	1361	1484	1542	1465	1117	1302
Gene_1133	2484	2776	2574	2388	2929	2732	2471	2583	2420	2555
Gene_1134	1189	882	1351	1066	996	1035	1094	1110	986	1052
Gene_1135	473	406	417	488	404	533	417	414	508	441
Gene_1136	1065	999	679	647	1024	822	711	777	801	705
Gene_1137	21	24	31	23	27	38	28	35	43	26
Gene_1138	1132	1194	1109	1267	1183	1141	1139	1132	1177	1103
Gene_1139	60	70	66	49	62	55	56	38	42	38
Gene_1140	143	171	116	152	198	224	139	139	125	149
Gene_1141	7	12	13	8	10	9	5	7	10	6
Gene_1142	6	18	7	10	12	10	9	7	5	7
Gene_1143	870	1148	949	946	843	998	952	985	928	854
Gene_1144	321	351	295	381	388	372	296	325	329	233
Gene_1145	251	252	255	233	322	364	265	378	264	312
Gene_1146	180	261	246	140	218	244	298	194	179	149
Gene_1147	868	933	1287	843	913	975	1073	984	881	896
Gene_1148	528	554	509	418	480	616	451	461	525	529
Gene_1149	241	190	160	213	168	215	208	197	176	211
Gene_1150	611	712	615	645	657	583	696	594	659	635
Gene_1151	451	496	380	497	527	535	432	493	493	423
Gene_1152	67	42	87	44	67	46	55	82	74	49
Gene_1153	8256	8840	8224	7059	6642	7272	6761	9031	8986	8522
Gene_1154	1001	1351	979	964	1199	1188	977	891	1253	1290
Gene_1155	239	267	223	274	259	177	252	211	313	182
Gene_1156	1108	836	1153	1052	1277	1274	1175	1376	995	1434
Gene_1157	1704	1572	1332	1186	1199	1405	1085	1175	1768	726
Gene_1158	59	57	45	35	51	52	39	52	36	55
Gene_1159	6889	7446	6957	7772	7059	7353	7453	6841	7111	6528
Gene_1160	269	321	263	224	287	318	248	223	263	222
Gene_1161	70	41	28	40	38	28	44	39	48	47
Gene_1162	129	146	126	163	136	156	141	149	184	146
Gene_1163	768	855	807	875	745	920	691	822	867	955
Gene_1164	54	57	50	43	64	96	66	60	91	45
Gene_1165	5	4	3	3	0	3	0	1	4	0
Gene_1166	8	7	13	9	11	11	11	6	16	11
Gene_1167	2	3	2	0	6	1	1	2	7	9
Gene_1168	464	457	402	479	464	451	433	508	386	464
Gene_1169	126	129	116	114	131	125	109	117	107	149
Gene_1170	431	459	471	449	426	439	392	394	472	478
Gene_1171	385	407	351	429	320	382	404	382	391	400
Gene_1172	912	1076	977	1035	867	864	906	999	954	875
Gene_1173	74	95	75	73	61	90	79	96	69	60
Gene_1174	647	596	927	710	536	799	820	611	759	605
Gene_1175	4373	4237	3650	4698	4261	5019	3846	3420	3479	4863
Gene_1176	1899	2008	1845	1576	2065	1312	1788	1949	1553	1616
Gene_1177	1404	1169	1420	1305	1345	1257	1205	1276	1256	1340
Gene_1178	11	10	15	13	24	22	19	8	9	10
Gene_1179	188	186	218	219	185	159	166	194	182	249
Gene_1180	1906	1960	2939	2285	1560	2442	1187	2443	3007	2100
Gene_1181	1161	835	970	822	706	805	1069	793	859	767
Gene_1182	4409	3654	3039	4230	2726	3327	3989	4632	3792	4551
Gene_1183	956	951	924	952	1003	998	964	920	1013	999
Gene_1184	51	64	95	51	74	44	45	70	57	83
Gene_1185	643	618	649	600	635	602	543	602	507	604
Gene_1186	488	433	435	454	448	405	472	447	460	457
Gene_1187	247	292	447	366	382	331	418	352	285	393
Gene_1188	983	1063	1077	983	1044	992	987	1062	1159	1179
Gene_1189	2141	1765	2006	2136	1977	2040	2007	2086	2255	2071
Gene_1190	0	5	5	4	4	4	3	4	1	2
Gene_1191	1225	904	1171	1258	1351	1192	1165	1306	1171	1203
Gene_1192	957	870	825	1025	925	1089	978	978	939	959
Gene_1193	111	98	111	110	115	105	98	97	108	101
Gene_1194	1580	1563	1571	1612	1409	1496	1402	1594	1521	1634
Gene_1195	1437	1556	1721	1677	1760	1454	1656	1836	1371	1967
Gene_1196	86	53	72	83	72	99	73	76	62	56
Gene_1197	208	348	214	457	403	264	318	458	370	367
Gene_1198	401	437	400	318	335	392	466	406	368	344
Gene_1199	43	24	24	41	22	40	28	42	93	52
Gene_1200	929	1266	1113	1091	1106	752	1069	1041	973	1276
Gene_1201	50	39	41	35	45	67	33	33	59	37
Gene_1202	304	343	284	257	277	292	290	268	264	279
Gene_1203	24	34	26	40	22	35	29	37	23	34
Gene_1204	3162	3136	3188	3281	3309	3551	2955	3468	3308	3118
Gene_1205	251	251	237	235	200	251	254	266	245	205
Gene_1206	187	196	201	213	209	195	183	201	203	171
Gene_1207	101	80	183	112	125	94	87	66	70	111
Gene_1208	8	11	8	5	6	2	6	4	3	4
Gene_1209	41	25	51	42	47	38	34	40	28	39
Gene_1210	240	289	240	239	235	215	272	147	249	197
Gene_1211	56	67	48	65	71	75	67	73	73	74
Gene_1212	3052	2838	3226	2708	2974	3128	3031	3011	2823	3022
Gene_1213	279	324	282	301	336	311	313	311	333	311
Gene_1214	2161	2873	2688	3177	3193	3426	2893	2486	2903	2436
Gene_1215	55	79	85	60	74	62	82	67	54	67
Gene_1216	784	741	786	692	813	864	694	844	735	604
Gene_1217	1960	2108	2183	2065	2258	1901	2435	2159	1915	1918
Gene_1218	66	62	53	68	58	60	93	52	51	58
Gene_1219	52	75	67	60	76	57	80	60	63	65
Gene_1220	593	807	502	540	768	601	680	854	609	719
Gene_1221	424	454	388	396	448	408	456	337	440	430
Gene_1222	28	19	14	17	8	26	7	13	13	13
Gene_1223	379	492	552	419	365	362	395	470	330	636
Gene_1224	494	711	614	617	614	770	687	586	705	740
Gene_1225	1396	1527	1629	1952	1584	1896	1483	1754	1621	2075
Gene_1226	547	702	384	605	707	584	446	476	505	579
Gene_1227	223	140	205	140	196	151	180	229	170	216
Gene_1228	197	241	192	215	180	227	303	167	287	325
Gene_1229	12	9	13	15	19	18	14	18	11	20
Gene_1230	195	225	263	235	246	160	267	260	225	290
Gene_1231	98	89	82	74	114	80	100	75	58	128
Gene_1232	926	677	967	871	737	640	839	845	608	775
Gene_1233	79	80	104	37	86	115	94	34	91	92
Gene_1234	2	0	3	3	6	5	2	4	2	1
Gene_1235	2720	2756	2522	2862	2682	2660	2835	2944	2659	2767
Gene_1236	5	6	2	4	4	0	5	5	1	4
Gene_1237	387	466	330	289	333	505	439	391	332	439
Gene_1238	1204	1133	1114	1023	983	1018	1192	1058	1159	1047
Gene_1239	199	171	232	176	159	185	201	183	171	196
Gene_1240	44	38	61	32	59	30	70	31	29	43
Gene_1241	123	73	144	77	115	141	84	105	79	121
Gene_1242	3919	3631	3706	3653	4502	3557	3358	3686	3437	4375
Gene_1243	50	40	35	48	56	53	31	45	47	50
Gene_1244	803	916	795	714	822	733	837	750	815	719
Gene_1245	539	559	581	562	534	593	580	524	541	641
Gene_1246	316	262	244	372	294	353	310	229	317	283
Gene_1247	91	113	95	72	84	94	115	121	107	97
Gene_1248	788	493	901	725	680	947	153	551	706	756
Gene_1249	44	60	52	49	34	38	50	29	79	31
Gene_1250	1641	1413	1135	1195	1348	1108	1175	1413	1134	1118
Gene_1251	435	384	379	421	385	432	377	518	492	416
Gene_1252	2496	2836	2315	2433	3001	3065	3238	2800	2491	2777
Gene_1253	177	187	149	138	118	159	131	147	190	174
Gene_1254	32	45	51	50	46	48	55	50	48	49
Gene_1255	542	523	528	537	551	541	477	495	553	450
Gene_1256	2329	2462	2048	2076	2630	2570	2441	2502	2442	2565
Gene_1257	108	224	250	216	200	110	172	206	227	212
Gene_1258	38	28	31	44	36	40	31	39	34	33
Gene_1259	70	52	91	102	77	76	76	82	103	48
Gene_1260	1040	1040	875	1033	960	957	1030	1088	917	927
Gene_1261	362	236	563	418	506	328	418	375	459	423
Gene_1262	18	22	25	15	23	20	18	18	19	23
Gene_1263	326	395	359	411	320	311	248	346	406	390
Gene_1264	386	426	577	481	518	586	383	311	325	531
Gene_1265	1141	991	1139	1011	1140	996	1090	1070	1109	1015
Gene_1266	16	33	21	15	24	7	21	10	16	10
Gene_1267	2681	2294	2522	2408	2526	2787	2302	2879	2719	2572
Gene_1268	216	201	173	179	160	194	177	190	191	186
Gene_1269	491	551	502	538	558	524	481	469	543	499
Gene_1270	102	91	93	109	145	98	145	66	116	126
Gene_1271	2207	2268	2341	2230	2473	2315	2290	2283	2303	2295
Gene_1272	69	70	67	89	88	84	80	85	65	77
Gene_1273	19	9	14	27	15	12	9	10	11	11
Gene_1274	508	499	427	543	470	440	443	556	433	498
Gene_1275	12	13	9	9	12	10	8	14	9	7
Gene_1276	1447	1305	1389	1311	1389	1281	1387	1510	1327	1517
Gene_1277	290	357	298	304	309	342	306	312	306	321
Gene_1278	188	203	207	181	211	193	171	195	184	206
Gene_1279	972	1511	1141	989	1429	1154	788	782	1266	1293
Gene_1280	837	788	766	800	743	879	817	737	799	695
Gene_1281	767	810	985	703	953	918	896	916	840	837
Gene_1282	345	289	286	320	315	308	343	305	304	367
Gene_1283	11	14	16	7	17	16	4	10	4	15
Gene_1284	96	97	95	88	99	80	83	110	104	106
Gene_1285	41	49	31	42	50	46	41	33	55	46
Gene_1286	200	230	93	140	219	106	62	155	105	79
Gene_1287	142	146	133	153	159	143	160	142	144	116
Gene_1288	281	422	326	347	402	265	298	646	330	254
Gene_1289	1374	1013	1015	1061	1255	1777	1311	1570	1933	1320
Gene_1290	2	3	1	4	4	4	2	9	4	2
Gene_1291	390	357	429	313	418	335	325	333	305	442
Gene_1292	1103	1134	1369	1236	1191	1213	1041	1152	1122	1459
Gene_1293	509	641	528	465	481	385	596	571	422	520
Gene_1294	2049	2112	1966	2016	1997	2031	2180	2002	2015	2044
Gene_1295	913	1021	1081	989	1097	1129	1202	1251	1136	1109
Gene_1296	3051	3344	2827	2919	2993	3018	2543	3006	2979	2802
Gene_1297	781	575	931	980	966	777	1313	784	1191	820
Gene_1298	374	356	358	433	489	459	370	399	394	393
Gene_1299	408	426	405	484	433	322	419	443	450	422
Gene_1300	107	108	75	87	96	96	87	104	86	119
Gene_1301	181	295	260	281	243	263	259	241	246	249
Gene_1302	11	10	11	9	8	6	14	7	13	3
Gene_1303	1369	1454	1415	1486	1584	1480	1531	1570	1460	1539
Gene_1304	229	233	223	374	342	369	289	257	294	234
Gene_1305	9	10	9	9	9	17	8	11	9	13
Gene_1306	12	12	20	12	17	23	10	18	32	9
Gene_1307	33	23	23	31	26	40	36	30	33	26
Gene_1308	392	357	293	406	272	319	420	417	357	307
Gene_1309	218	215	248	208	201	211	202	243	235	227
Gene_1310	75	89	81	81	63	85	55	65	69	80
Gene_1311	329	321	281	338	255	344	287	326	433	281
Gene_1312	114	151	122	109	124	128	160	115	165	102
Gene_1313	885	985	910	1087	1083	972	1007	869	966	817
Gene_1314	3581	3433	3176	3535	3662	3504	3754	3786	3440	3328
Gene_1315	1602	1931	1863	1768	1741	1970	1846	1879	1780	2218
Gene_1316	150	150	209	227	156	193	149	170	183	182
Gene_1317	196	177	158	234	220	254	155	235	187	207
Gene_1318	4423	4098	4050	4504	3977	4374	4715	4357	3866	4745
Gene_1319	116	109	108	123	110	133	112	117	108	105
Gene_1320	4197	4585	4580	4930	5473	4069	5114	4139	4446	4214
Gene_1321	146	128	164	189	278	194	174	153	155	191
Gene_1322	2	3	5	4	5	2	3	0	2	1
Gene_1323	833	888	901	914	854	933	794	857	914	913
Gene_1324	33	53	34	33	87	34	87	34	61	44
Gene_1325	93	121	107	113	117	96	115	122	125	98
Gene_1326	184	163	182	150	194	219	158	149	148	185
Gene_1327	2997	2733	3235	3117	3767	2991	2485	2862	2786	2816
Gene_1328	789	771	670	671	956	693	533	760	592	701
Gene_1329	384	338	439	306	294	340	266	446	406	410
Gene_1330	2140	2377	2275	2397	2308	2165	2414	2260	2281	2249
Gene_1331	88	80	107	86	93	160	87	86	62	100
Gene_1332	2781	2694	2484	2720	2437	2920	2695	2988	2486	2330
Gene_1333	908	805	888	887	858	960	806	815	890	949
Gene_1334	4	1	4	6	3	2	1	2	4	0
Gene_1335	76	58	68	65	67	67	69	55	59	65
Gene_1336	110	102	98	101	96	88	75	103	98	110
Gene_1337	231	296	275	259	227	234	247	252	260	249
Gene_1338	44	25	39	48	26	49	48	34	31	45
Gene_1339	134	135	118	142	106	126	125	119	149	112
Gene_1340	114	118	161	83	95	107	135	86	105	120
Gene_1341	721	870	502	788	768	643	888	679	711	580
Gene_1342	456	464	560	475	519	515	500	529	506	556
Gene_1343	1593	1197	1724	1420	1552	1554	1231	1401	1187	1441
Gene_1344	416	452	406	433	448	433	463	428	446	429
Gene_1345	475	918	709	1109	754	790	829	744	760	601
Gene_1346	575	658	660	570	509	742	509	535	584	619
Gene_1347	153	145	151	149	140	164	199	171	211	133
Gene_1348	943	817	994	1142	934	885	1014	816	912	881
Gene_1349	210	247	222	200	224	270	182	209	256	226
Gene_1350	195	189	227	198	279	243	239	199	219	259
Gene_1351	19	9	11	15	21	13	10	10	9	11
Gene_1352	230	226	268	200	229	204	237	205	232	233
Gene_1353	200	101	88	161	254	194	145	214	195	94
Gene_1354	8	3	5	7	1	5	2	9	6	10
Gene_1355	64	102	92	96	85	62	102	51	49	73
Gene_1356	4	6	2	2	8	1	8	1	6	7
Gene_1357	69	66	84	63	61	65	92	57	54	66
Gene_1358	267	305	279	221	230	353	314	258	256	308
Gene_1359	585	551	675	604	548	670	601	576	585	683
Gene_1360	4	15	10	10	15	24	14	9	6	7
Gene_1361	201	143	221	180	231	184	206	170	158	213
Gene_1362	284	241	266	312	245	239	289	401	256	232
Gene_1363	13	16	19	17	12	12	12	24	15	22
Gene_1364	3	1	4	8	6	2	3	4	1	2
Gene_1365	226	177	214	219	185	189	245	247	256	193
Gene_1366	606	641	523	485	621	594	664	595	562	430
Gene_1367	12	7	12	12	15	19	16	15	9	8
Gene_1368	1806	2043	2205	2722	2422	2803	2210	2697	1958	1975
Gene_1369	1046	967	914	880	1051	900	1005	1120	953	1077
Gene_1370	3464	2345	2112	2221	2719	2865	2513	2545	2939	2421
Gene_1371	426	403	416	301	436	431	339	423	367	372
Gene_1372	719	624	696	751	605	670	658	679	680	702
Gene_1373	286	382	334	403	311	319	379	387	328	418
Gene_1374	120	102	169	148	136	181	135	134	125	139
Gene_1375	2221	1775	1759	1598	1660	1786	1578	1540	1727	1701
